entreprise,contact,email,telephone,departement,codes_postaux,source,statut,site_web,ville,activite
Devillier Benne Location (Dbl),,,,Drancy (75),93700,API Gouv + Site Web,Pas d'email,,Drancy,77.32Z
Star Benne Location,Aït Eldjoudi,,,Chanteloup-Les-Vignes (78),78570,API Gouv + Site Web,Pas d'email,,Chanteloup-Les-Vignes,77.32Z
Trans Benne Location ( T.B.L),Aguilar (Aguilar),,,Verneuil-Sur-Seine (78),78480,API Gouv + Site Web,Pas d'email,,Verneuil-Sur-Seine,49.41C
Enlevem Benne Macon Location Terrassemen (Ebmlt),Roux,,,Bazainville (78),78550,API Gouv + Site Web,Pas d'email,,Bazainville,38.11Z
David Villerstein,Villerstein,,,Carrieres-Sur-Seine (78),78420,API Gouv + Site Web,Pas d'email,,Carrieres-Sur-Seine,45.11Z
Romain Durst (Rd Location Benne),Durst,,,Marcoussis (91),91460,API Gouv + Site Web,Pas d'email,,Marcoussis,77.32Z
Soc Travaux Publics Bondy Benne Location,,,,Bondy (93),93140,API Gouv + Site Web,Pas d'email,,Bondy,45.1A
Franck Karabadja (Franck Karabadja),Karabadja,,,Theuville (95),95810,API Gouv + Site Web,Pas d'email,,Theuville,77.32Z
Allan Beaufort (Location Benne 95),Beaufort,,,Herblay-Sur-Seine (95),95220,API Gouv + Site Web,Pas d'email,,Herblay-Sur-Seine,43.99C
Abraham Muller (Muller Abraham),Muller,,,Villiers-Le-Bel (95),95400,API Gouv + Site Web,Pas d'email,,Villiers-Le-Bel,43.91B
Anthony Dettinger (A.D. Epaviste - A.D. Location Benne),Dettinger,,,Saint-Genis-Laval (69),69230,API Gouv + Site Web,Pas d'email,,Saint-Genis-Laval,38.32Z
G.S.E - Gravats Service Evacuation,Benamou,,,Saint-Laurent-De-Mure (69),69720,API Gouv + Site Web,Pas d'email,,Saint-Laurent-De-Mure,68.20B
Sellia Location Camion Benne (Slcb),Lasne Desvareilles,,,Aix-En-Provence (13),13090,API Gouv + Site Web,Pas d'email,,Aix-En-Provence,49.41B
Daniel Marchetti (Service Location Benne),Marchetti,,,Marseille (13),13014,API Gouv + Site Web,Pas d'email,,Marseille,77.32Z
Mario Psaila (Mario Benne Location),Psaila,,,Senas (13),13560,API Gouv + Site Web,Pas d'email,,Senas,77.32Z
Jean Torres (Torres Benne Location),Torres,,,Aubagne (13),13400,API Gouv + Site Web,Pas d'email,,Aubagne,77.32Z
David Copp (Dc Location De Benne),Copp,,,Marseille (13),13009,API Gouv + Site Web,Pas d'email,,Marseille,38.32Z
Warren Lannessans (Allo Recyclage),Lannessans,,,Trets (13),13530,API Gouv + Site Web,Pas d'email,,Trets,77.32Z
Location Benne Recyclage 33 (Lbr 33),Henry,,,Cenon (33),33150,API Gouv + Site Web,Pas d'email,,Cenon,49.41A
Remi Labant (Location Mglf Benne),Labant (Labant),,,Cabanac-Et-Villagrains (33),33650,API Gouv + Site Web,Pas d'email,,Cabanac-Et-Villagrains,43.12A
Atlantique Location Benne Broyage Recyclage (Al2Br),Cadoret,,,Missillac (44),44780,API Gouv + Site Web,Pas d'email,,Missillac,77.32Z
Mc Location Benne,Culminique,,,Montpellier (34),34000,API Gouv + Site Web,Pas d'email,,Montpellier,77.32Z
Benne Location Service (Kbc Services Eurl) (Bls),Karadag (Karadag),,,Eckbolsheim (67),67201,API Gouv + Site Web,Pas d'email,,Eckbolsheim,70.10Z
Nicolas Dedinger (Nd Location Benne),Dedinger,,,Seyssuel (38),38200,API Gouv + Site Web,Pas d'email,,Seyssuel,38.32Z
Joos Benne & Location,Joos (Benoit),,,Ollioules (83),83190,API Gouv + Site Web,Pas d'email,,Ollioules,77.32Z
3D Benne Location,,,,La Farlede (83),83210,API Gouv + Site Web,Pas d'email,,La Farlede,77.32Z
Sarl Azur Benne Location Et Transport (Sarl A B) (Sarl A B),Ferraro,,,Bandol (83),83150,API Gouv + Site Web,Pas d'email,,Bandol,77.12Z
Sean Paoletti (Ps Location De Benne),Paoletti,,,Hyeres (83),83400,API Gouv + Site Web,Pas d'email,,Hyeres,77.32Z
Keny Lacroix (Keny Location Benne),Lacroix,,,Cuers (83),83390,API Gouv + Site Web,Pas d'email,,Cuers,38.32Z
Marcel Lacroix (Top Garage Auto / M.T.K. Location Benne),Lacroix,,,Sollies-Pont (83),83210,API Gouv + Site Web,Pas d'email,,Sollies-Pont,45.11Z
Bk Benne Location,,,,Saint-Meen-Le-Grand (35),35290,API Gouv + Site Web,Pas d'email,,Saint-Meen-Le-Grand,90.0B
Giany Feugier (Fgd Location De Benne),Feugier,,,Bonne (74),74380,API Gouv + Site Web,Pas d'email,,Bonne,81.21Z
Yoann Dhont (Yd Location Benne),Dhont,,,Chouze-Sur-Loire (37),37140,API Gouv + Site Web,Pas d'email,,Chouze-Sur-Loire,77.39Z
Benne B.K. Location,,,,Lanester (56),56600,API Gouv + Site Web,Pas d'email,,Lanester,80.08
Joselito Lafleur (F.D.K Location Benne),Lafleur,,,Bagnols-Sur-Ceze (30),30200,API Gouv + Site Web,Pas d'email,,Bagnols-Sur-Ceze,81.21Z
Enzo Zuccaro (Ez Location Benne),Zuccaro,,,Sauveterre (30),30150,API Gouv + Site Web,Pas d'email,,Sauveterre,77.32Z
Remi Deffond (Rdlb Location Benne),Deffond,,,Marsat (63),63200,API Gouv + Site Web,Pas d'email,,Marsat,77.39Z
Wesley Feltain (Wess Location Benne 17),Feltain,,,Royan (17),17200,API Gouv + Site Web,Pas d'email,,Royan,38.32Z
Societe De Transport Benne Et Location,,,,Trelivan (22),22100,API Gouv + Site Web,Pas d'email,,Trelivan,69.12
Pascal Location Benne Environnement (Plb Environnement),Tessiaux,,,Laboissiere-En-Thelle (60),60570,API Gouv + Site Web,Pas d'email,,Laboissiere-En-Thelle,38.32Z
Philippe Demestre (Location Benne 60),Demestre,,,Creil (60),60100,API Gouv + Site Web,Pas d'email,,Creil,77.32Z
Lv Location Benne,Vetter,,,Valence (26),26000,API Gouv + Site Web,Pas d'email,,Valence,38.32Z
Andre Molinas (Am Location Benne),Molinas,,,Chateauneuf-De-Gadagne (84),84470,API Gouv + Site Web,Pas d'email,,Chateauneuf-De-Gadagne,77.32Z
Location Benne Recyclage,Droin (Danguy),,,Avallon (89),89200,API Gouv + Site Web,Pas d'email,,Avallon,77.39Z
